Date,Description,Amount
2025-06-01,PURCHASE: STARBUCKS,-3.50
2025-06-02,PAYCHECK,2500.00
2025-06-03,AMAZON.COM,-45.75
2025-06-05,DINING: PIZZERIA NAPOLI,-25.00
2025-06-06,UBER TRIP TO AIRPORT,-40.20
2025-06-08,WHOLE FOODS MARKET,-78.90
2025-06-10,FREELANCE PAYMENT,300.00
2025-06-12,MONTHLY SUBSCRIPTION SPOTIFY,-10.99
2025-06-15,DINING: TACO BELL,-12.50
2025-06-18,BILL PAYMENT: PHONE COMPANY,-65.00
2025-06-19,RETURN: OLD NAVY,35.00
2025-06-20,GROCERY STORE: TRADER JOES,-60.10
2025-06-22,MONTHLY SUBSCRIPTION NETFLIX.COM,-15.99
2025-06-26,TRAVEL: AIRBNB LONDON,-350.00
2025-06-27,PURCHASE: TARGET,-52.30
2025-06-28,MONTHLY SUBSCRIPTION YOUTUBE,-13.99
2025-06-30,MORTGAGE PAYMENT,-1500.00
2025-07-01,PURCHASE: STARBUCKS,-4.50
2025-07-02,PAYCHECK,2500.00
2025-07-05,DINING: THE CHEESECAKE FACTORY,-48.00
2025-07-07,UBER TRIP,-28.50
2025-07-10,MONTHLY SUBSCRIPTION SPOTIFY,-10.99
2025-07-12,WHOLE FOODS,-85.20
2025-07-15,NEW DESK CHAIR IKEA,-180.00
2025-07-18,BILL PAYMENT: PHONE COMPANY,-65.00
2025-07-20,GAS: BP,-45.00
2025-07-22,MONTHLY SUBSCRIPTION NETFLIX.COM,-15.99
2025-07-24,PET STORE,-32.50
2025-08-01,PURCHASE: STARBUCKS,-5.25
2025-08-02,PAYCHECK,2500.00
2025-08-03,AMAZON.COM,-68.99
2025-08-05,DINING: RAMEN PLACE,-35.00
2025-08-07,UBER TRIP,-22.00
2025-08-10,MONTHLY SUBSCRIPTION SPOTIFY,-10.99
2025-08-12,WHOLE FOODS,-75.00
2025-08-15,BILL PAYMENT: PHONE COMPANY,-65.00
2025-08-20,GAS: BP,-50.00
2025-08-22,MONTHLY SUBSCRIPTION NETFLIX.COM,-15.99
2025-08-24,GROCERY STORE,-88.75
