Date,Description,Amount
2025-06-01,Paycheck,2500.00
2025-06-03,Groceries,-75.50
2025-06-05,Coffee Shop,-5.20
2025-06-07,Movie Theater,-15.00
2025-06-10,Online Clothing Store,-85.99
2025-06-12,Phone Bill,-60.00
2025-06-15,Restaurant,-45.00
2025-06-18,Gas Station,-40.00
2025-06-20,Apartment Rent,-1200.00
2025-06-23,Textbooks,-150.00
2025-06-26,Hotel,-250.00
2025-06-28,Doctor's Visit,-75.00
2025-07-01,Paycheck,2500.00
2025-07-03,Groceries,-90.10
2025-07-05,Concert Tickets,-80.00
2025-07-08,Bus Fare,-2.50
2025-07-10,Online Gadgets,-200.00
2025-07-13,Electric Bill,-85.00
2025-07-16,Diner,-30.00
2025-07-19,Mortgage Payment,-1500.00
2025-07-22,Gym Membership,-50.00
2025-07-25,Tuition,-500.00
2025-07-28,Airline Ticket,-450.00
2025-07-31,Random Purchase,-20.00
2025-08-01,Paycheck,2500.00
2025-08-03,Sushi Restaurant,-65.00
2025-08-05,Groceries,-120.00
2025-08-08,Ride Share App,-25.00
2025-08-10,Electronics,-550.00
2025-08-12,Movie Pass,-20.00
2025-08-15,Rent,-1200.00
2025-08-18,Gas Bill,-45.00
2025-08-20,Therapy Session,-150.00
2025-08-21,Online Course,-300.00
2025-08-22,Travel: Train Ticket,-75.00
2025-08-23,Shopping: Cash Withdrawal,-100.00
2025-08-24,Paycheck,2000.00
2025-08-24,Coffee Shop,-6.50
